title,firstname,lastname,party,state,district,gender,phone,website,webform,drive_id,bioguide_id,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,birthdate,oc_email
Rep,Robert,Aderholt,R,AL,4,M,202-225-4876,http://aderholt.house.gov,http://aderholt.house.gov/email-me2/,0B9oZ9Poh4Y5NemYyNEJMLTZJaDg,A000055,441,H6AL04098,400004,N00003028,Robert_Aderholt,http://www.opencongress.org/wiki/Robert_Aderholt,http://youtube.com/RobertAderholt,7/22/1965,Rep.Aderholt@opencongress.org
Sen,Lamar,Alexander,R,TN,Senior Seat,M,202-224-4944,http://www.alexander.senate.gov,http://www.alexander.senate.gov/public/index.cfm?p=Email,0B9oZ9Poh4Y5NQ2NhZ0hQdXlNeUk,A000360,15691,S2TN00058,300002,N00009888,SenAlexander,http://www.opencongress.org/wiki/Lamar_Alexander,http://youtube.com/lamaralexander,7/3/1940,Sen.Alexander@opencongress.org
Rep,Justin,Amash,R,MI,3,M,202-225-3831,http://amash.house.gov,https://amash.house.gov/contact-me/email-me,0B9oZ9Poh4Y5NY2VoYkY1SUdKT1E,A000367,105566,H0MI03126,412438,N00031938,RepJustinAmash,http://www.opencongress.org/wiki/Justin_Amash,http://youtube.com/repjustinamash,4/18/1980,Rep.Amash@opencongress.org
Sen,Kelly,Ayotte,R,NH,Junior Seat,F,202-224-3324,http://www.ayotte.senate.gov,http://www.ayotte.senate.gov/?p=contact,0B9oZ9Poh4Y5NM3JzZEsyWEg3eEE,A000368,42352,S0NH00235,412493,N00030980,,http://www.opencongress.org/wiki/Kelly_Ayotte,http://youtube.com/SenatorAyotte,6/27/1968,Sen.Ayotte@opencongress.org
Rep,Mark,Amodei,R,NV,2,M,202-225-6155,http://amodei.house.gov,https://amodei.house.gov/contact-us,0B9oZ9Poh4Y5NVnJ5dVczT3pQaU0,A000369,12537,H2NV02395,412500,N00031177,MarkAmodeiNV2,http://www.opencongress.org/wiki/Mark_Amodei,http://youtube.com/markamodeinv2,6/12/1958,Rep.Amodei@opencongress.org
Rep,Spencer,Bachus,R,AL,6,M,202-225-4921,http://bachus.house.gov,https://bachus.house.gov/email-me,0B9oZ9Poh4Y5NR0ZLcUxqNjM5eTA,B000013,26715,H2AL06035,400010,N00008091,BachusAL06,http://www.opencongress.org/wiki/Spencer_Bachus,http://youtube.com/congressmanbachus,12/28/1947,Rep.Bachus@opencongress.org
Rep,Joe,Barton,R,TX,6,M,202-225-2002,http://joebarton.house.gov,https://joebarton.house.gov/contact1/,0B9oZ9Poh4Y5NU0sycTRkcF80ZlU,B000213,27082,H4TX06117,400018,N00005656,RepJoeBarton,http://www.opencongress.org/wiki/Joe_Barton,http://youtube.com/repjoebarton,9/15/1949,Rep.Joebarton@opencongress.org
Rep,Xavier,Becerra,D,CA,34,M,202-225-6235,http://becerra.house.gov,http://becerraforms.house.gov/forms/writeyourrep/,0B9oZ9Poh4Y5NNHI2MUdIMFFYQUU,B000287,26754,H2CA30143,400021,N00009774,RepBecerra,http://www.opencongress.org/wiki/Xavier_Becerra,http://youtube.com/XavierBecerra,1/26/1958,Rep.Becerra@opencongress.org
Rep,Sanford,Bishop,D,GA,2,M,202-225-3631,http://bishop.house.gov,http://bishop.house.gov/contact,0B9oZ9Poh4Y5NY3RlQnhiejlMdnc,B000490,26817,H2GA02031,400030,N00002674,SanfordBishop,http://www.opencongress.org/wiki/Sanford_Bishop,http://youtube.com/RepSanfordBishop,2/4/1947,Rep.Bishop@opencongress.org
Rep,Earl,Blumenauer,D,OR,3,M,202-225-4811,http://blumenauer.house.gov,https://forms.house.gov/blumenauer/webforms/issue_subscribe.html,0B9oZ9Poh4Y5NYzhfTTRDcnlEQkU,B000574,367,H6OR03064,400033,N00007727,BlumenauerMedia,http://www.opencongress.org/wiki/Earl_Blumenauer,http://youtube.com/RepBlumenauer,8/16/1948,Rep.Blumenauer@opencongress.org
